Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude,Geometry
Recreation,Infrastructure,Kincardine,Kincardine to Inverhuron Provincial Park (KIPP) Trail,Planning,2021,"The project will construct a 12 kilometre, paved trail between Kincardine and Inverhuron Provincial Park. The new trail will support healthy living and provide a safe and scenic connection to communities and facilities in the municipality.",,Bruce,Southwest,1475 Concession 5 Road,N2Z2X6,,"$1,087,900 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.299068,-81.579552,
Recreation,Infrastructure,King,New $53 million Recreational Complex for the Township of King,Planning,23-Aug,"The project will see the construction of a new recreation centre for the Township of King and will include twin ice pad surfaces, an indoor year-round pool and track, gym equipment and multipurpose fitness studio space for yoga, aerobics, and spin classes. The recreation centre will also house a multiuse field house with operable doors to surrounding amenities, including baseball and soccer fields. The project will also explore a number of energy efficient measures for the facility such as natural ventilation, reclaiming waste heat from the refrigeration system, and an open-loop geothermal heat exchange.","This new complex will provide residents in the Township of King and surrounding communities access to modern and reliable recreational infrastructure where they can enjoy sports, maintain healthy lifestyles and take part in recreational programs and services for years to come.",York,Central,2585 KING RD,L7B1A1,,"$52,978,443 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000173/canada-and-ontario-invest-in-new-53-million-recreational-complex-for-the-township-of-king,43.953128,-79.512611,
Roads and bridges,Transportation,King,16th Sideroad Bridge Replacement,Under construction,2022,"Interchange reconstruction, 1 bridge replacement, 1 new carpool lot on 16th Sideroad",,York,Central,,,Highway 400,"$66,875,000 ",,Yes,,,,44.001577,-79.585963,
Recreation,Infrastructure,Kingfisher Lake First Nation,Renovation and Addition of an Ice Plant and Multi-Purpose Room for Kingfisher Lake First Nation (KLFN),Planning,2022,"The project will renovate and install a new ice plant at the arena and rehabilitate the mezzanine to allow for sports and training. The upgrades will promote community health and wellness, and will improve community access to recreational activities for years to come.",,,Northwest,1 Main Street,P0V1Z0,,"$3,454,813 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61149/canada-and-ontario-invest-in-improved-community-cultural-and-recreational-facilities-in-first-nation-2,53.02929,-89.82154,
Education,Education,Kingston,Kingston West Catholic Elementary School,Under construction,23-Sep,Construction of new school,"New facility to accommodate 481 students in a growing community, including the construction of 73 child care spaces and of 3 EarlyON rooms",Frontenac,East,386 HOLDEN ST,,,"$20,939,736 ",,Yes,,Yes,,44.26725301,-76.58970419,
Education,Education,Kingston,École secondaire publique Mille Îles,Under construction,23-Sep,Construction of new school,New facility to accommodate 300 students in a growing community,Frontenac,East,1381 DEMERS AVE,,,"$14,895,022 ",,Yes,,Yes,,44.24991,-76.56075,
Education,Education,Kingston,école secondaire catholique Marie-Rivier,Under construction,23-Sep,Construction of new school,"New facility to accommodate 300 students in a growing community, including the construction of 49 child care spaces and of 1 EarlyON room",Frontenac,East,1381 DEMERS AVE,,,"$17,124,000 ",,Yes,,Yes,,44.24991,-76.56075,
Health care,Health,Kingston,Kingston General Hospital - Redevelopment,Planning,28-Mar,"The hospital redevelopment includes demolition of old buildings, extensive renovations and new construction.","Improved access to the catheterization laboratory, surgical suites, clinical laboratories, emergency department, neonatal intensive care unit, labour and delivery suite, and inpatient unit.",Frontenac,East,"76 Stuart St, Kingston",K7L 2V7,,0,,Yes,,Yes,,44.224605,-76.492877,
Broadband,Infrastructure,Kingston,Eastern Ontario Regional Network (EORN) Cellular Gap Project,Under construction,25-Aug,"Description: A regional project adding new cellular infrastructure to increase network coverage and capacity across eastern Ontario. Note that the funding listed below is for the entire project, not just this municipality. ","Expanding reliable cellular services which are essential to support economic development, improve public safety and connect with others",Frontenac,East,,,,"$300,000,000 ",Yes,Yes,Yes,Yes,https://www.eorn.ca/en/projects/improving-cell-service.aspx,44.229942,-76.480544,
Communities,Infrastructure,Kingston,Youth Campus Cultural Community Centre,Planning,2022,"This project will renovate and expand the existing youth community facility. Work includes converting the adjacent church sanctuary into a community centre by removing pews; constructing a stage; installing new audio visual, lighting, and sound systems; improving floors, and upgrading HVAC requirements. The demolition of the existing community centre will allow for 2,500 square feet of new space to be added to the complex, facilitating a new, large kitchen, more washrooms, and multi-use meeting space. These improvements will provide a safe, supportive and healing space for vulnerable youth, 16 to 24 years old (including Indigenous youth). It will also allow for increased access to cultural healing, skill development, socialization and self-expression programming. Other youth service agencies will also be able to access the new facility and its services.",,Frontenac,East,540 Montreal St.,K7K3J2,,"$2,514,000 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000657/canada-and-ontario-invest-over-2-million-in-improved-community-culture-and-recreational-infrastructure-in-eastern-ontario,44.236366,-76.500819,
Communities,Municipal Affairs and Housing,Kingston,Affordable Housing,Under construction,23-Jan,60 units geared towards young adults at 484 Albert Street,Apartments with bachelor bedroom/unit geared towards young adults,Frontenac,East,484 Albert Street,K7L3W3,,"$2,230,000 ",,Yes,,Yes,,44.2371,-76.501067,
Communities,Transportation,Kingston,Electric Vehicle Charging Station at Scotiabank,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,Frontenac,East,681 Princess St,,,0,,,,,,44.23889,-76.50548,
Roads and bridges,Transportation,Kingston,"Wolfe Island Ferry Service, lowering of river bed channel, Kingston",Under construction,22-Dec,Lowering of the existing river bed at Kingston Shoal and Barrett's Bay,Lowering of river bed channel,Frontenac,East,,,N/A,0,,Yes,,,,44.23265385,-76.47750002,
Roads and bridges,Transportation,Kingston,"Wolfe Island Ferry Service, shoreline infrastructure upgrades, Kingston",Under construction,23-Dec,Shoreline infrastructure upgrades to the existing Kingston Ferry dock,Shoreline infrastructure upgrades ,Frontenac,East,,,N/A,0,,Yes,,,,44.23265385,-76.47750002,
Transit,Transportation,Kingston,Diesel/bio-diesel Buses,Planning,2022,"Purchase 6 conventional low-floor, accessiblediesel/bio-diesel buses.","Increased passenger capacity, reliability and quality of service of Kingston's transit system. ",Frontenac,East,,,,"$5,158,083 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Kingston,Pedestrian/Cycling Pathway and Sidewalk Connections,Planning,27-Mar,"Construct various trails, sidewalks and pedestrian crossovers.",Improved passenger connectivity to all bus routes.,Frontenac,East,,,,"$10,685,518 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Kingston,Intersection Reconstruction,Planning,23-Aug,Reconstruct the intersection at King St. West and Portsmouth Avenue to include a dedicated bus lane and relocated bus stops.,Enhanced cycling connections and improved access to public transit.,Frontenac,East,,,,"$2,116,356 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Kingston,Pedestrian/Cycling Connections,Planning,26-Oct,"Construct a new designated bike lane, a multi-use path, and a new sidewalk.",Safer and more efficient connection for pedestrians to public transit.,Frontenac,East,,,,"$6,830,770 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Kingston,Express Routes - Passenger Stations,Planning,24-Mar,"Construct 12 transit passenger stations at bus stops with  lighting, waste and recycling bins, bike storage and more.",Improved quality of the public transit service.,Frontenac,East,,,,"$2,585,604 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Kingston,Transit & Active Transportation Improvements – Montreal St at John Counter Blvd,Planning,24-Dec,"The project includes the construction and rehabilitation of four accessible bus stops and shelters, two transit-exclusive drop-off lanes, 770 metres of multi-use off-road pathway, 420 metres of sidewalk and 700 metres of buffered bike lanes.",Re-design and construction of Montreal Street at John Counter Boulevard to support public transit and active transportation improvements.,Frontenac,East,,,,"$6,599,407 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Kingston,Traffic Signal Optimization,Planning,24-Mar,Install various transit priority equipment and traffic control upgrades.,Improved public transit reliability and increase service frequency.,Frontenac,East,,,,"$2,788,758 ",Yes,Yes,Yes,,,,,
Education,Education,Kingsville,Kingsville Public Elementary and Secondary School,Under construction,23-Sep,Construction of new school,"New facility to accommodate 1795 students as a result of a consolidation, including the construction of 98 child care spaces and of 3 EarlyON rooms",Essex,Southwest,1620 JASPERSON LANE,N9Y 3J5,,"$45,486,017 ",,Yes,,,,42.046614,-82.724202,
Communities,"Tourism, Culture and Sport",Kirkland Lake,Kirkland Lake T,Under construction,23-May,"Our Municipality, with a $465,000 Community Building Fund – Capital stream grant over 12 months, will address a community need by upgrading ventilation and dehumidification units, replacing the arena boards and benches and improving accessible access to the facility. ",,Timiskaming,Northeast,55 Allen Avenue,P2N 3P4,,"$465,000 ",,Yes,,,,48.14846,-80.020588,
Communities,Transportation,Kirkland Lake,Electric Vehicle Charging Station at Tim Horton's,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,Timiskaming,Northeast,175 Government Rd W,,,0,,,,,,48.14676,-80.04574,
Child care,Education,Kitchener,Lackner Woods Public Elementary School,Under construction,2022,Expansion of existing school,Addition to accommodate 88 child care spaces,Waterloo,Southwest,151 ZELLER DR,N2A 4H4,,"$3,506,047 ",,Yes,,,,43.45226,-80.4189,
Child care,Education,Kitchener,St. Francis Catholic Continued Education,Planning,2022,Expansion of existing school,Addition to accommodate 88 child care spaces and 3 EarlyON rooms,Waterloo,Southwest,154 GATEWOOD RD,N2M 4E4,,"$4,033,365 ",,Yes,,,,43.43297,-80.50816,
Education,Education,Kitchener,Brigadoon-Huron Catholic Elementary School,Under construction,23-Sep,Construction of new school,"New facility to accommodate 650 students in a growing community, including the construction of 88 child care spaces",Waterloo,Southwest,S HURON / E FISHER HALLMAN,,,"$20,902,470 ",,Yes,,Yes,,43.38242,-80.48216,
Education,Education,Kitchener,South Kitchener Public Elementary School,Planning,24-Sep,Construction of new school,"New facility to accommodate 591 students in a growing community, including the construction of 49 child care spaces",Waterloo,Southwest,670 THOMAS SLEE DR,,,"$14,425,653 ",,Yes,,,,43.37695634,-80.42145552,
Education,Education,Kitchener,East Kitchener Catholic Secondary School,Planning,24-Sep,Construction of new school,New facility to accommodate 1400 students in a growing community,Waterloo,Southwest,TBD,TBD,,"$37,699,818 ",,Yes,,,,,,
Education,Education,Kitchener,Rosenberg Catholic Elementary School,Planning,24-Sep,Construction of new school,New facility to accommodate 527 students in a growing community,Waterloo,Southwest,ROSENBERG WAY / FOREST WALK ST,TBD,,"$12,142,420 ",,Yes,,,,,,
Education,Education,Kitchener,St. Patrick Catholic Elementary School,Planning,24-Sep,Construction of new school,"New facility to accommodate 527 students in a growing community, including the construction of 88 child care spaces",Waterloo,Southwest,THALER AVE / BURGETZ AVE,,,"$14,976,981 ",,Yes,,,,43.43707137,-80.43367046,
Recreation,Infrastructure,Kitchener,Transit Hub Multi Use Trail,Planning,2021,"The project will create a multi-use trail to connect the Iron Horse Trail with the future King Victoria Transit Hub planned for construction in 2021. It will be a focal point for higher order transit service in Waterloo Region, connecting passengers seamlessly through the co-location of our Regional LRT - the ION, GO Transit's rail and bus service, VIA rail service, intercity bus, and passenger vehicles and promote active living.",,Waterloo,Southwest,150 Frederick Street/Rue,N2G4J3,,"$952,125 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61072/kw-nr-en,43.452822,-80.501215,
