Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude,Geometry
Broadband,Infrastructure,EAGLE LAKE FIRST NATION,Migisi Sahgaigan First Nation Community broadband access,Planning,2020,Submarine fibre-optic link and a 3-tower high-performance fixed wireless WIFI solution,High-capacity internet access for remote community of 90 residences,,Northwest,1220 Ojibway DrMigisi Sahgaigan ,P0V 15O,,"$63,300,000 ",,Yes,,,,49.7301407,-93.040812,
Broadband,Infrastructure,EAGLE LAKE FIRST NATION,Migisi Sahgaigan First Nation Community broadband access,Under construction,2022,Submarine fibre-optic link and a 3-tower high-performance fixed wireless WIFI solution,High-capacity internet access for remote community of 90 residences,,Northwest,1220 Ojibway DrMigisi Sahgaigan ,P0V 15O,,"$63,300,000 ",,Yes,,,,49.7301407,-93.040812,
Recreation,Infrastructure,EAR FALLS,Ear Falls Recreational Centre,Planning,2021,"Accessibility retrofits, including larger stalls in the washrooms and height-appropriate and accessible fixtures as well as the addition of a chair lift. ",The upgrades will better accommodate visitors with mobility issues.,KENORA,Northwest,2 Willow Crescent,P0V1T0,,"$231,000 ",Yes,Yes,Yes,,,50.640397,-93.233159,
Recreation,Infrastructure,EAST FERRIS,Rehabilitate and expand Corbeil Park Recreation Hub,Planning,22-Dec,"The project work includes improvements to the park's soccer field; addition of an overhead cover with lighting for the outdoor rink; renovation of the existing tennis court and the construction of another; lighting and signage for the parking lot; and replacement of playground equipment with new accessible equipment. The project will enable the Municipality of East Ferris to improve access to recreational opportunities by providing a larger, safer, and more accessible facility.",,NIPISSING,Northeast,390  94 HWY,P0H1K0,,"$1,453,055 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61188/canada-and-ontario-invest-in-improved-recreational-infrastructure-for-residents-of-east-ferris,46.225,-79.2823,
Education,Education,EAST GWILLIMBURY,Sharon Public Elementary School,Planning,24-Sep,Construction of new school,"New facility to accommodate 638 students in a growing community, including the construction of 39 child care spaces",YORK,Central,MURREL BLVD / CHARLESWHITE COURT,,,"$14,761,623 ",,Yes,,,,44.095801,-79.449127,
Education,Education,EAST GWILLIMBURY,Queensville Catholic Elementary School,Planning,24-Sep,Construction of new school,"New facility to accommodate 409 students in a growing community, including the construction of 49 child care spaces",YORK,Central,LESLIE ST / JIM MORTSON DR,,,"$11,400,174 ",,Yes,,,,44.12834911,-79.44809301,
Communities,Infrastructure,EAST HAWKESBURY,Storm Sewer Replacement,Planning,2021,Replacement of approximately one kilometre of storm sewer and 45 catch basins with sumps.,"Improve the condition and performance of the storm sewer system, which will help to prevent backups in basements and flooding of private septic systems.",PRESCOTT AND RUSSELL,East,"5151 COUNTY RD 14, P.O Box 340",K0B1P0,,"$946,895 ",Yes,Yes,Yes,Yes,,45.499651,-74.466779,
Communities,Transportation,EAST HAWKESBURY,Electric Vehicle Charging Station at St. Hubert,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,PRESCOTT AND RUSSELL,East,456 County Rd 17,,,0,,,,,,45.59121,-74.59602,
Broadband,"Agriculture, Food and Rural Affairs",ELGIN COUNTY,High Speed Internet Expansion,Planning,23-Jun,Installing fibre-optic cable infrastructure,Increased service speeds and availability of plans for people in this community,ELGIN,Southwest,,,,0,,,,,,,,
Broadband,Infrastructure,ELGIN COUNTY,North Hall SWIFT Broadband Project,Under construction,22-Dec,New broadband construction by Execulink,Providing reliable internet access for 316 premises,ELGIN,Southwest,,N0J 1H0,,"$1,020,456 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,42.816596,-80.808332,
Broadband,Infrastructure,ELGIN COUNTY,Iona Station SWIFT Broadband Project,Under construction,22-Dec,New broadband construction by EhTel,Providing reliable internet access for 390 premises,ELGIN,Southwest,,N0L 1P0,,"$3,210,132 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,42.7356939,-81.4114171,
Broadband,Infrastructure,ELGIN COUNTY,New Glasgow SWIFT Broadband Project,Under construction,2022,New broadband construction by NFTC,Providing reliable internet access for 742 premises,ELGIN,Southwest,,N0L 2C0,,"$1,873,897 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,42.556388,-81.5947774,
Communities,Transportation,ELLIOT LAKE,Electric Vehicle Charging Station at Scotiabank,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,ALGOMA,Northeast,261-108,,,0,,,,,,46.38502,-82.64478,
Communities,Transportation,ELLIOT LAKE,Electric Vehicle Charging Station at Scotiabank,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,ALGOMA,Northeast,269 King's Hwy 108,,,0,,,,,,46.38617,-82.65094,
Transit,Transportation,ELLIOT LAKE,Transit Expansion and Improvements,Planning,23-Jun,"Developing new transit routes and schedules to meet community transit needs, as well as planning the construction phase and asset purchases. This will include up to four new buses, the installation of up to 50 new bus shelters and 50 bus stops, as well as the rehabilitation of up to 75 existing bus stops and 25 existing bus shelters for improved safety and accessibility. ",Improved safety and accessibility. ,ALGOMA,Northeast,,,,"$937,500 ",Yes,Yes,Yes,,,46.3862,-82.6509,
Communities,Infrastructure,EMO,Emo Water Treatment Plant Upgrades ,Planning,2022,"Upgrading the Township's water treatment facility by flushing existing water pipes to remove excess sand buildup, installing an intake screen to prevent blockages, upgrading the chemical feed system, and installing a switchover panel and anion exchange treatment solution, which softens water and removes unwanted minerals.","Improve the facility's performance, lengthen its lifespan, and ensure area residents have increased access to quality drinking water and a healthier living environment.",RAINY RIVER,Northwest,39 Roy St,P0W1E0,,"$525,558 ",Yes,Yes,Yes,,,48.628384,-93.844125,
Communities,Infrastructure,ENGLEHART,Englehart Water Supply Upgrade,Planning,2021,Expand the drinking water supply by adding a drilled well and rehabilitate two existing wells and install a standpipe to provide adequate water storage. The project will reduce the risk of low level conditions in the existing water system.,,TIMISKAMING,Northeast,61 Fifth Ave,P0J1H0,,"$2,625,638 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects,47.823838,-79.866934,
Roads and bridges,Infrastructure,ENGLEHART,Reconstruction of the Krugerdorf Bridge,Planning,23-Dec,"The project will reconstruct the Krugerdorf Bridge. The project scope includes removal of the existing bridge, road grade adjustments, enhancements to the abutments, and installation of a 40m single-span modular bridge with steel beam guiderail.","Overall, the project contributes to improved and more reliable road infrastructure in the Township of Chamberlain.",TIMISKAMING,Northeast,467501 Chamberlain Road 5 Road,P0J1H0,,"$4,275,837 ",Yes,Yes,Yes,,,47.928314,-79.900268,
Recreation,Infrastructure,ENNISKILLEN,Replacement of Krall Park Washroom and Pavilion – CCRIS,Planning,2021,"The project will replace the washrooms and pavilion, install backstop netting and cement pads in dug outs, and construct a new septic system and an accessible walkway from the parking lot to pavilion. The upgrades will improve access to and the quality of community and recreational infrastructure.",,LAMBTON,Southwest,4465 Rokeby Line,N0N1R0,,"$303,875 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000034/canada-and-ontario-invest-over-44-m-in-improved-culture-recreation-and-green-infrastructure-in-partnership-with-15-communities-across-ontario,42.83114,-82.12465,
Recreation,"Tourism, Culture and Sport",ENNISKILLEN,Enniskillen Tp,Under construction,23-Jan,"Our Municipality, with a $218,800 Community Building Fund – Capital stream grant over 12 months, will address a community need by updating our pavilion washroom facility and sidewalks to make them accessible. ",,LAMBTON,Southwest,3879 Prince Street,N0N 1R0,,"$218,800 ",,Yes,,,,42.905468,-82.169721,
Roads and bridges,"Agriculture, Food and Rural Affairs",ERIN,Hillsburgh Dam Bridge Reconstruction,Under construction,2020,Construction of a new bridge over Hillsburgh Dam on Station Street.,Increased traffic safety,WELLINGTON,Southwest,,N0B 1Z0,,"$1,576,988 ",Yes,Yes,,,,43.78718,-80.14203,
Recreation,Infrastructure,ERIN,Erin Community Centre Rehabilitation and Renovation,Planning,23-Aug,"Installation of a fixed emergency generator, health and safety upgrades to the electrical, HVAC and refrigeration systems, roof structure replacement, and a new alarm system, and accessibility improvements to the elevator, washroom, and signage.",,WELLINGTON,Southwest,5684 Trafalgar Road Road,N0B1Z0,,"$2,640,000 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,43.778481,-80.068563,
Roads and bridges,Infrastructure,ERIN,8th Line Bridge Replacement,Planning,2021,Replace the 8th Line Bridge with a new 2 lane bridge. ,,WELLINGTON,Southwest,,,,"$916,630 ",Yes,Yes,Yes,,,43.77187,-80.09358,
Communities,Transportation,ESPANOLA,Electric Vehicle Charging Station at Tim Horton's,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,SUDBURY,Northeast,701 Centre St,,,0,,,,,,46.25096,-81.76381,
Roads and bridges,Transportation,ESPANOLA,Highway 6 reconstruction,Planning,2022,Reconstruct Centre Street (Highway 6) from the McDonald's restaurant to McCulloch Drive,,SUDBURY,Northeast,,,Highway 6,"$3,000,000 ",,Yes,,,,46.25,-81.76,
Broadband,"Agriculture, Food and Rural Affairs",ESSEX COUNTY,High Speed Internet Expansion,Planning,23-Jun,Installing fibre-optic cable infrastructure,Increased service speeds and availability of plans for people in this community,ESSEX,Southwest,,,,0,,,,,,,,
Broadband,Infrastructure,ESSEX COUNTY,Marshfield SWIFT Broadband Project,Under construction,2022,New broadband construction by Cogeco,Providing reliable internet access for 1577 premises,ESSEX,Southwest,,N0R 1G0,,"$5,940,363 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,42.0712771,-82.8933118,
Broadband,Infrastructure,ESSEX COUNTY,Mount Carmel SWIFT Broadband Project,Under construction,2022,New broadband construction by Cogeco,Providing reliable internet access for 1812 premises,ESSEX,Southwest,,N0M 1N0,,"$5,701,845 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,42.0906955,-82.5969152,
Broadband,Infrastructure,ESSEX COUNTY,Point Pelee SWIFT Broadband Project,Under construction,2022,New broadband construction by Cogeco,Providing reliable internet access for 484 premises,ESSEX,Southwest,,N8H 3V4,,"$1,635,538 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,42.006234,-82.532406,
Broadband,Infrastructure,ESSEX COUNTY,Lighthouse Cove SWIFT Broadband Project,Under construction,2022,New broadband construction by TekSavvy,Providing reliable internet access for 540 premises,ESSEX,Southwest,,N0P 2L0,,"$2,074,628 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,42.304213,-82.4659869,
Roads and bridges,Transportation,ESSEX COUNTY,"Hwy 3 from Ellis Side Rd. to Essex Rd. 23, County of Essex, Contract 1",Under construction,23-Jun,Hwy 3 widening widening from Ellis Side Rd. to Essex Rd. 23 ,Two to four-lane widening,ESSEX,Southwest,,,Highway 3,0,,Yes,,,,42.14489445,-82.79500019,
Communities,"Agriculture, Food and Rural Affairs",FAUQUIER-STRICKLAND,Fauquier Water Treatment Plant Upgrades,Under construction,2021,Upgrades to the water treatment plant. ,Safer drinking water,COCHRANE,Northeast,Gravel Avenue,P0L 1G0,,"$1,757,156 ",Yes,Yes,Yes,,,49.311211,-82.038895,
Broadband,"Agriculture, Food and Rural Affairs",FORT ERIE,High Speed Internet Expansion,Planning,2021,Installing fibre-optic cable infrastructure,Increased service speeds and availability of plans for people in this community,NIAGARA,Central,,,,0,,,,,,,,
Education,Education,FORT ERIE,Peace Bridge Public Elementary School,Planning,23-Sep,Expansion of existing school,New classroom addition of 230 pupil places for a growing school,NIAGARA,Central,105 TORRANCE CRES,L2A 2C1,,"$5,278,019 ",,Yes,,,,42.91472,-78.92502,
Recreation,"Tourism, Culture and Sport",FORT ERIE,Fort Erie T,Under construction,23-May,"Our Municipality, with a $500,000 Community Building Fund – Capital stream grant over 12 months, will address a community need by installing a splash pad at an outdoor aquatic park to provide community members with a free, safe, and accessible facility. ",,NIAGARA,Central,100 Gilmore Road,L2A 2M1 ,,"$500,000 ",,Yes,,,,42.920775,-78.91697,
Education,Education,FORT FRANCES,St. Mary Catholic Elementary School,Planning,23-Sep,Expansion of existing school,New classroom addition of 69 pupil places for a growing school,RAINY RIVER,Northwest,755 FLINDERS AVE,P9A 3L2,,"$2,588,357 ",,Yes,,,,48.61251893,-93.42182511,
Recreation,Infrastructure,FORT FRANCES,Fort Frances Memorial Sports Centre.,Planning,24-Dec,"The renovated facility will feature an updated pool, new squash court floors, and new flooring in the auditorium entrance. In addition, the Zamboni and furnace will be replaced, and upgrades will be made to the security system.",Enhanced quality and user experience of recreational infrastructure in Fort Frances ,RAINY RIVER,Northwest,320 Portage Avenue,P9A3P9,,"$5,251,800 ",Yes,Yes,Yes,,,48.61117,-93.381679,
Communities,Transportation,FORT FRANCES,Electric Vehicle Charging Station at Tim Horton's,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,RAINY RIVER,Northwest,525 Hwy 11 W,,,0,,,,,,48.61102,-93.36929,
Roads and bridges,Transportation,FORT FRANCES,Detailed Design for Reconstruction of Kings Highway (Pit Road Number 1 to Oakwood Road),Planning,2021,,,RAINY RIVER,Northwest,,,Highway 11/71,"$116,200 ",,Yes,,,,48.607255,-93.444531,
Roads and bridges,Transportation,FORT FRANCES,Scott Street reconstruction,Planning,2022,Reconstruct Scott Street from Colonization Road East to Reid Avenue,,RAINY RIVER,Northwest,,,Highway 11 ,"$3,000,000 ",,Yes,,,,48.610026,-93.392114,
